<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
G.MI,????,05/07/2019,D,17.100000,17.254999,17.155001,17.170000,1562073,0
GEO.MI,????,05/07/2019,D,1.600000,1.624000,1.578000,1.596000,50368,0
IG.MI,????,05/07/2019,D,5.450000,5.582000,5.450000,5.578000,1149519,0
INW.MI,????,05/07/2019,D,7.475000,7.655000,7.470000,7.640000,128876,0
ISP.MI,????,05/07/2019,D,2.295500,2.313500,2.291000,2.300000,28947703,0
LDO.MI,????,05/07/2019,D,9.860000,9.978000,9.874000,9.918000,844284,0
MONC.MI,????,05/07/2019,D,36.230000,36.590000,36.070000,36.169998,198573,0
MS.MI,????,05/07/2019,D,2.940000,2.966000,2.906000,2.946000,510867,0
MB.MI,????,05/07/2019,D,9.294000,9.418000,9.212000,9.360000,512129,0
BMED.MI,????,05/07/2019,D,6.390000,6.390000,6.275000,6.370000,87528,0
